,frozen,aiEnableMatte,aiMatteColorR,aiMatteColorG,aiMatteColorB,aiMatteColorA,Kd,colorR,colorG,colorB,diffuseRoughness,Ks,KsColorR,KsColorG,KsColorB,specularRoughness,specularAnisotropy,specularRotation,specularDistribution,Kr,KrColorR,KrColorG,KrColorB,reflectionExitColorR,reflectionExitColorG,reflectionExitColorB,reflectionExitUseEnvironment,Kt,KtColorR,KtColorG,KtColorB,transmittanceR,transmittanceG,transmittanceB,refractionRoughness,refractionExitColorR,refractionExitColorG,refractionExitColorB,refractionExitUseEnvironment,IOR,dispersionAbbe,Kb,Fresnel,Krn,specularFresnel,Ksn,FresnelUseIOR,FresnelAffectDiff,emission,emissionColorR,emissionColorG,emissionColorB,directSpecular,indirectSpecular,directDiffuse,indirectDiffuse,enableGlossyCaustics,enableReflectiveCaustics,enableRefractiveCaustics,enableInternalReflections,Ksss,KsssColorR,KsssColorG,KsssColorB,sssRadiusR,sssRadiusG,sssRadiusB,sssProfile,bounceFactor,opacityR,opacityG,opacityB
Ai_Balloon.mel,0,0,0,0,0,0,0.6999999881,0.7810000181,0.9270000458,1,0.4227642417,0.2222222239,0.926832974,0.926832974,0.926832974,0.4529914558,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0.555555582,0,1,0,1,0.7699999809,0.9118333459,1,1,1,1,0,0,0,1,0.400000006,1,0.7699999809,0.9118333459,1,1,1,1,1,1,1,1
Ai_Cer_Paint.mel,0,0,0,0,0,0,0.6999999881,1,0,0,0,1,1,1,1,0,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0.01999999955,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.16260162,0.04687571526,0.4571755528,0.5203326344,1,1,1,1,1,1,1,1
Ai_Ceramic.mel,0,0,0,0,0,0,0.6999999881,1,1,1,0,0.6495726705,1,1,1,0,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0.1000000015,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0.3000000119,1,1,1,1,1,1,1,1,1,1,1
Ai_Chocolate.mel,0,0,0,0,0,0,1,0.3849999905,0.2730000019,0.2119999975,0.3760683835,0.200000003,1,1,1,0.3000000119,0.5,0,0,0.1000000015,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0.1000000015,1,0.125,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.05000000075,0.5921568871,0.2470588237,0.1215686277,1,1,1,1,1,1,1,1
Ai_Chrome.mel,0,0,0,0,0,0,0,0.9059891701,0.9059891701,0.9059891701,0,1,0.9674830437,0.9674830437,0.9674830437,0,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0.7317073345,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Clay.mel,0,0,0,0,0,0,1,0.5921568871,0.2470588237,0.1215686277,0.5,0.3000000119,0.9145342112,0.9145342112,0.9145342112,0.5,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0.125,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.05000000075,0.5921568871,0.2470588237,0.1215686277,1,1,1,1,1,1,1,1
Ai_Glass.mel,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.5,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0.9430380464,0.9430380464,0.9430380464,0,0,0,0,0,1.5,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Gold.mel,0,0,0,0,0,0,0.6999999881,0.82099998,0.4721980989,0,0.4273504317,0.7557252049,1,0.8640426397,0.6800000072,0.4386660159,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Incandescent_Bulb.mel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1.685600042,1.213999987,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Matt.mel,0,0,0,0,0,0,0.6999999881,1,1,1,1,0,1,1,1,0.247863248,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Matt_Plastic.mel,0,0,0,0,0,0,0.6999999881,0,0,0,0,0.264957279,0.5384603739,0.5384603739,0.5384603739,0.5726495981,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Metallic_Car_Paint.mel,0,0,0,0,0,0,0.6999999881,0.2020000219,0.4659252167,1,0,0.4499999881,0.5790035725,0.9438620806,1,0.5,0.5,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0.400000006,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.16260162,0.04687571526,0.4571755528,0.5203326344,1,1,1,1,1,1,1,1
Ai_Plaster.mel,0,0,0,0,0,0,0.6999999881,1,1,1,1,0.1257142872,1,1,1,0.7657142878,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Plastic_Toy_Soldier.mel,0,0,0,0,0,0,0.6999999881,0.2544080019,0.5389999747,0.3255559802,0,0.2399999946,0.7849863768,0.7849863768,0.7849863768,0.400000006,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0.6752136946,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.1000000015,0.2544080019,0.5389999747,0.3255559802,1,1,1,1,1,1,1,1
Ai_Shiny_Plastic.mel,0,0,0,0,0,0,0.6999999881,0,0,0,0.2136752158,0.5365853906,0.617883563,0.617883563,0.617883563,0.3577235639,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0.7008547187,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Silk_Matt_Plastic.mel,0,0,0,0,0,0,0.6999999881,0,0,0,1,0.7560975552,1,1,1,0.788617909,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Soft_Plastic.mel,0,0,0,0,0,0,0.6999999881,0.9059891701,0.9059891701,0.9059891701,0.5,0.400000006,0.2649576664,0.2649576664,0.2649576664,0.6700000167,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.400000006,1,0.7549999952,0.3000000119,1,1,1,1,1,1,1,1
Ai_Styrofoam.mel,0,0,0,0,0,0,0.6999999881,1,1,1,0.5128205419,0.4444444478,1,1,1,0.8205128312,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0.08547008783,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.25,1,1,1,1,1,1,1,1,1,1,1
Ai_Velvet.mel,0,0,0,0,0,0,0.6999999881,0.685135603,0.8730562329,1.078942537,0.8730562329,0,1,1,1,0.685135603,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
Ai_Wax.mel,0,0,0,0,0,0,0.3089430928,0.9059891701,0.9059891701,0.9059891701,0.5299145579,0.547008574,1,1,1,0.593495965,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0.5726495981,1,0.9981284738,0.9940000176,1,1,1,1,1,1,1,1
Ai_Wheel_Rims.mel,0,0,0,0,0,0,0.200000003,0.6710000038,0.6710000038,0.6710000038,0,0.8000000119,1,1,1,0.3089430928,0.5,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0.1000000015,0.1000000015,0.1000000015,1,1,1,1,1
