,diffuse_weight,diffuseR,diffuseG,diffuseB,diffuse_roughness,reflectivity,refl_colorR,refl_colorG,refl_colorB,refl_gloss,refl_gloss_samples,refl_interpolate,refl_hl_only,refl_is_metal,transparency,refr_colorR,refr_colorG,refr_colorB,refr_gloss,refr_ior,refr_gloss_samples,refr_interpolate,refr_translucency,refr_trans_colorR,refr_trans_colorG,refr_trans_colorB,refr_trans_weight,anisotropy,anisotropy_rotation,anisotropy_channel,brdf_fresnel,brdf_0_degree_refl,brdf_90_degree_refl,brdf_curve,brdf_conserve_energy,intr_grid_density,intr_refl_samples,intr_refl_ddist_on,intr_refl_ddist,intr_refr_samples,single_env_sample,refl_falloff_on,refl_falloff_dist,refl_falloff_color_on,refl_falloff_colorR,refl_falloff_colorG,refl_falloff_colorB,refl_depth,refl_cutoff,refr_falloff_on,refr_falloff_dist,refr_falloff_color_on,refr_falloff_colorR,refr_falloff_colorG,refr_falloff_colorB,refr_depth,refr_cutoff,indirect_multiplier,fg_quality,fg_quality_w,ao_on,ao_samples,ao_distance,ao_darkR,ao_darkG,ao_darkB,ao_ambientR,ao_ambientG,ao_ambientB,ao_do_details,thin_walled,no_visible_area_hl,skip_inside_refl,do_refractive_caustics,backface_cull,propagate_alpha,hl_vs_refl_balance,cutout_opacity,additional_colorR,additional_colorG,additional_colorB,no_diffuse_bump,mode
Chrome.mel,1.0,0.150000006,0.150000006,0.150000006,0.5,1.0,0.9599999785,0.9599999785,0.9599999785,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.8199999928,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
Copper.mel,0.1000000015,0.8000000119,0.5299999714,0.1599999964,0.0,1.0,0.8000000119,0.5299999714,0.1599999964,0.400000006,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.8999999762,1.0,1.649999976,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
FrostedGlass.mel,0.5199999809,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.8000000119,0.9800000191,0.9800000191,0.9800000191,0.5,1.5,12.0,0.0,1.0,0.9800000191,0.9800000191,0.9800000191,0.200000003,1.0,0.0,-1.0,1.0,0.6999999881,1.0,5.0,1.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,1.0,30.0,1.0,0.400000006,0.7099999785,0.8500000238,8.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlassPhysical.mel,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.9800000191,0.9800000191,0.9800000191,1.0,1.5,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,1.0,0.6999999881,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,1.0,30.0,1.0,0.400000006,0.7099999785,0.8500000238,8.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlassSolid.mel,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.8100000024,0.8899999857,0.9300000072,1.0,1.5,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,1.0,0.6999999881,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlassThick.mel,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.5,8.0,0.0,0.0,0.6999999881,0.6000000238,0.5,0.5,1.0,0.0,-1.0,1.0,0.200000003,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.009999999776,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,10.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlassThin.mel,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.8100000024,0.8899999857,0.9300000072,1.0,1.5,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,1.0,0.6999999881,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlazedCeramic.mel,1.0,0.5,0.5,0.5,0.5,1.0,0.6000000238,0.6000000238,0.6000000238,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.200000003,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlossyFinish.mel,1.0,0.5,0.5,0.5,0.0,0.75,1.0,1.0,1.0,0.8999999762,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.200000003,1.0,5.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
GlossyPlastic.mel,1.0,0.7300000191,0.6499999762,0.5,0.0,1.0,0.6000000238,0.6000000238,0.6000000238,0.349999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.200000003,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
MatteFinish.mel,1.0,0.5,0.5,0.5,0.200000003,0.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.200000003,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
MattePlastic.mel,1.0,0.7300000191,0.6499999762,0.5,0.5,1.0,0.1000000015,0.1000000015,0.1000000015,0.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.200000003,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,3.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
PearlFinish.mel,1.0,0.5,0.5,0.5,0.0,0.3000000119,1.0,1.0,1.0,0.200000003,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.1000000015,1.0,5.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
Rubber.mel,1.0,0.0700000003,0.0700000003,0.0700000003,1.0,0.5,1.0,1.0,1.0,0.25,8.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.399999976,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,0.0,0.25,0.5,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
SatinedMetal.mel,0.3000000119,1.0,1.0,1.0,0.0,0.8000000119,1.0,1.0,1.0,0.400000006,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.200000048,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,0.1000000015,0.0,-1.0,0.0,0.8999999762,1.0,5.0,1.0,0.0,8.0,1.0,150.0,2.0,0.0,0.0,43.0,0.0,0.200000003,0.200000003,0.200000003,8.0,0.009999999776,0.0,15.0,1.0,0.4799999893,0.7900000215,0.9300000072,8.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
TranslucentPlasticFilmLightBlur.mel,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.8999999762,1.0,1.0,1.0,0.6000000238,1.5,16.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,1.0,0.6999999881,1.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
TranslucentPlasticFilmOpalecent.mel,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,0.75,1.5,12.0,0.0,1.0,1.0,1.0,1.0,0.200000003,1.0,0.0,-1.0,1.0,0.6999999881,1.0,5.0,1.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
Water.mel,0.1000000015,0.1800000072,0.5600000024,0.4399999976,0.5,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.330000043,8.0,0.0,0.0,0.6999999881,0.5,0.200000003,0.5,1.0,0.0,-1.0,1.0,0.200000003,1.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,4.0,0.009999999776,0.0,0.0,0.0,0.200000003,0.200000003,0.200000003,6.0,0.009999999776,1.0,1.0,1.0,0.0,16.0,4.0,0.200000003,0.200000003,0.200000003,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
